,city,Lat,Lng,temp,hum,pres,cloud,wind,country,date
62,phuket,7.8804479,98.3922504,82.2,100.0,1010.0,75.0,1.12,TH,1596064718.0
63,hithadhoo,-0.6060574,73.0892245,83.46,73.0,1011.0,19.0,17.29,MV,1595985079.0
64,bonavista,48.6533449,-53.11182489999999,59.0,85.0,1014.0,47.0,4.0,CA,1596009784.0
65,ilulissat,69.2198118,-51.0986031,44.6,75.0,1013.0,40.0,6.93,GL,1595998611.0
66,hobart,-42.8821377,147.3271949,46.09,70.0,1017.0,75.0,6.93,AU,1596057864.0
67,grindavik,63.8441808,-22.4383818,53.6,81.0,1012.0,75.0,5.82,IS,1595997098.0
68,halifax,44.6475811,-63.5727683,84.52,69.0,715.0,20.0,9.17,CA,1596013064.0
69,puerto ayora,-0.7432918,-90.3156893,71.2,69.0,1013.0,40.0,18.34,EC,1596024307.0
70,avarua,-21.2129007,-159.7823059,69.8,88.0,1011.0,91.0,6.93,CK,1596042695.0
71,kudahuvadhoo,2.6707463,72.8943768,83.44,78.0,1011.0,96.0,16.58,MV,1595984860.0
72,goderich,43.7428345,-81.7138942,76.68,76.0,1010.0,30.0,8.12,CA,1596017578.0
73,riyadh,24.7135517,46.6752957,105.8,15.0,1004.0,44.0,4.7,SA,1595989197.0
74,kavieng,-2.5781167,150.8086082,81.64,70.0,1008.0,0.0,5.08,PG,1596052983.0
75,saskylakh,71.954308,114.1198349,46.65,85.0,1024.0,0.0,5.12,RU,0.0
76,constitucion,29.9199404,-106.7960624,88.97,26.0,1013.0,0.0,5.12,MX,1596025490.0
77,busselton,-33.6531584,115.3454892,44.19,85.0,1015.0,26.0,2.77,AU,1596064322.0
78,wingham,51.27505,1.21501,67.82,52.0,1017.0,18.0,4.0,GB,1595996144.0
79,wilmington,34.2103894,-77.8868117,90.46,59.0,1016.0,1.0,6.93,US,1596018041.0
80,provideniya,64.4031643,-173.2064559,49.42,89.0,1009.0,100.0,8.99,RU,1596119601.0
81,saint-philippe,-21.3035757,55.7356129,66.4,88.0,1021.0,75.0,10.29,RE,1595990994.0
82,klaksvik,62.2271922,-6.5779064,48.2,93.0,1014.0,100.0,19.46,FO,1595994204.0
83,beringovskiy,63.0611249,179.3485395,52.23,86.0,1004.0,37.0,12.01,RU,1596035611.0
84,severo-kurilsk,50.6683424,156.115192,51.84,89.0,1009.0,85.0,14.52,RU,1596045561.0
85,ossora,59.23308199999999,163.067535,55.15,91.0,998.0,100.0,2.89,RU,1596041330.0
86,te anau,-45.4144699,167.7180006,49.98,85.0,1023.0,100.0,5.59,NZ,1596053376.0
87,rio brilhante,-21.8047006,-54.5432691,66.07,59.0,1019.0,68.0,8.9,BR,1596017499.0
88,tuytepa,41.0459316,69.35331049999999,84.2,16.0,1011.0,0.0,9.17,UZ,1595981734.0
89,krasnoselkup,65.69455599999999,82.525613,52.02,74.0,1013.0,92.0,2.95,RU,1595970534.0
90,jinka,29.7410598,-95.3695577,79.74,94.0,1017.0,90.0,5.82,US,1596022766.0
91,shenjiamen,31.32316399999999,121.59359,83.28,90.0,1008.0,100.0,1.01,CN,1596056931.0
92,shache,38.414217,77.245761,84.43,19.0,1004.0,48.0,15.41,CN,1596066680.0
93,kargil,34.5538522,76.1348944,69.91,38.0,1014.0,47.0,8.41,IN,1595981014.0
94,roma,36.0765489,-95.9035442,78.26,83.0,1013.0,90.0,9.17,US,1596022126.0
95,butaritari,3.1166667,172.8,83.08,76.0,1007.0,95.0,16.55,KI,1596047247.0
96,barentsburg,78.0648475,14.2334597,55.4,76.0,1017.0,68.0,8.05,SJ,0.0
97,del rio,29.3708857,-100.8958674,87.04,58.0,1016.0,75.0,10.29,US,1596024135.0
98,osoyoos,49.032304,-119.468163,80.8,34.0,1013.0,20.0,9.17,CA,1596025645.0
99,kidal,18.4520713,1.4096535,101.44,19.0,1006.0,30.0,10.38,ML,1596000669.0
100,calabozo,8.9180089,-67.4158925,86.23,73.0,1010.0,26.0,3.76,VE,1596018022.0
101,itinga,-16.6949469,-41.8646584,87.04,28.0,1017.0,11.0,5.41,BR,1596013998.0
102,khatanga,71.964027,102.4406129,53.13,71.0,1022.0,26.0,7.61,RU,0.0
103,tsihombe,-25.3168473,45.48630929999999,66.94,71.0,1018.0,0.0,3.98,MG,1595993836.0
